Title,Image URL,URL,Label,Description
8 Camilan Sehat agar Tubuh Tetap Langsing,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1599032354/attached_image/tetap-langsing-dengan-siasat-camilan-sehat.jpg",https://www.alodokter.com/tetap-langsing-dengan-siasat-camilan-sehat,hidup-sehat,Mengonsumsi camilan sehat di sela waktu makan dapat membuat tubuh merasa tetap kenyang dan lebih...
"Sandwich Buah, Camilan Bernutrisi yang Menyehatkan Tubuh","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753237579/attached_image/sandwich-buah-camilan-bernutrisi-yang-menyehatkan-tubuh.jpg",https://www.alodokter.com/sandwich-buah-camilan-bernutrisi-yang-menyehatkan-tubuh,hidup-sehat,Sandwich buah merupakan camilan bernutrisi tinggi karena menggabungkan karbohidrat dari roti serta serat dan vitamin...
"Manfaat Minum Bir Saat Menstruasi, Memangnya Ada?","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753179881/attached_image/manfaat-minum-bir-saat-menstruasi-memangnya-ada.jpg",https://www.alodokter.com/manfaat-minum-bir-saat-menstruasi-memangnya-ada,hidup-sehat,Manfaat minum bir saat menstruasi sering dianggap ada karena minuman ini kerap kali dikira bisa...
"Daun Sendok, Inilah Manfaat dan Cara Mengonsumsinya","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753175894/attached_image/daun-sendok-inilah-manfaat-dan-cara-mengonsumsinya.jpg",https://www.alodokter.com/daun-sendok-inilah-manfaat-dan-cara-mengonsumsinya,hidup-sehat,Daun sendok adalah tanaman yang telah lama digunakan dalam pengobatan tradisional di Indonesia. Tanaman ini...
"Akar Bajakah, Ketahui Manfaat dan Cara Mengonsumsinya","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1723295753/attached_image/akar-bajakah-ketahui-manfaat-dan-cara-mengonsumsinya.jpg",https://www.alodokter.com/akar-bajakah-ketahui-manfaat-dan-cara-mengonsumsinya,hidup-sehat,Akar bajakah adalah bagian dari tanaman bajakah yang sudah sejak lama dipercaya sebagai obat herbal...
10 Manfaat Buah Kurma untuk Kesehatan,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1603174437/attached_image/manfaat-buah-kurma-untuk-kesehatan.jpg",https://www.alodokter.com/manfaat-buah-kurma-untuk-kesehatan,hidup-sehat,"Manfaat buah kurma berasal dari beragam nutrisi di dalamnya. Tidak hanya baik untuk kesehatan tubuh,..."
"Kurma Basah, Inilah Kandungan Nutrisi dan Manfaatnya bagi Kesehatan","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753167807/attached_image/kurma-basah-inilah-kandungan-nutrisi-dan-manfaatnya-bagi-kesehatan.jpg",https://www.alodokter.com/kurma-basah-inilah-kandungan-nutrisi-dan-manfaatnya-bagi-kesehatan,hidup-sehat,Kurma basah merupakan camilan sehat yang sering dikonsumsi sebagai sumber energi tubuh. Selain rasanya yang...
7 Titik Refleksi Tangan dan Manfaatnya jika Ditekan,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1689333180/attached_image/7-titik-refleksi-tangan-dan-manfaatnya-jika-ditekan.jpg",https://www.alodokter.com/7-titik-refleksi-tangan-dan-manfaatnya-jika-ditekan,hidup-sehat,"Beberapa titik refleksi tangan bisa ditekan untuk mengatasi berbagai masalah kesehatan, seperti sakit kepala maupun..."
"Self-Compassion, Ketahui Manfaat dan Cara Melakukannya","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1690178950/attached_image/self-compassion-ketahui-manfaat-dan-cara-melakukannya.jpg",https://www.alodokter.com/self-compassion-ketahui-manfaat-dan-cara-melakukannya,hidup-sehat,"Self-compassion dapat diartikan empati, belas kasih, dan penerimaan terhadap diri sendiri. Sikap ini memiliki beragam..."
Cara Mengatasi Telat Haid pada Remaja dengan Cepat dan Mudah,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1690170572/attached_image/cara-mengatasi-telat-haid-pada-remaja-dengan-cepat-dan-mudah.jpg",https://www.alodokter.com/cara-mengatasi-telat-haid-pada-remaja-dengan-cepat-dan-mudah,hidup-sehat,Cara mengatasi telat haid pada remaja perlu dipahami karena siklus menstruasi yang belum stabil sering...
"Krim Pemutih Wajah, Salah Satu Cara Memutihkan Wajah yang Efektif","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1690171505/attached_image/krim-pemutih-wajah-salah-satu-cara-memutihkan-wajah-yang-efektif.jpg",https://www.alodokter.com/krim-pemutih-wajah-salah-satu-cara-memutihkan-wajah-yang-efektif,hidup-sehat,Krim pemutih wajah kerap dipilih sebagai solusi praktis untuk mencerahkan kulit wajah. Kandungan bahan aktif...
"Ketawa Sambil Nangis, Normal atau Tidak?","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1690418955/attached_image/ketawa-sambil-nangis-normal-atau-tidak.jpg",https://www.alodokter.com/ketawa-sambil-nangis-normal-atau-tidak,hidup-sehat,"Ketawa sambil nangis sering kali terjadi ketika seseorang membaca, mendengar, atau melihat sesuatu yang sangat..."
10 Manfaat Buah Kurma untuk Kesehatan,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1603174437/attached_image/manfaat-buah-kurma-untuk-kesehatan.jpg",https://www.alodokter.com/manfaat-buah-kurma-untuk-kesehatan,hidup-sehat,"Manfaat buah kurma berasal dari beragam nutrisi di dalamnya. Tidak hanya baik untuk kesehatan tubuh,..."
"Kurma Basah, Inilah Kandungan Nutrisi dan Manfaatnya bagi Kesehatan","https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1753167807/attached_image/kurma-basah-inilah-kandungan-nutrisi-dan-manfaatnya-bagi-kesehatan.jpg",https://www.alodokter.com/kurma-basah-inilah-kandungan-nutrisi-dan-manfaatnya-bagi-kesehatan,hidup-sehat,Kurma basah merupakan camilan sehat yang sering dikonsumsi sebagai sumber energi tubuh. Selain rasanya yang...
7 Titik Refleksi Tangan dan Manfaatnya jika Ditekan,"https://res.cloudinary.com/dk0z4ums3/image/upload/w_300,h_166,c_fill/v1689333180/attached_image/7-titik-refleksi-tangan-dan-manfaatnya-jika-ditekan.jpg",https://www.alodokter.com/7-titik-refleksi-tangan-dan-manfaatnya-jika-ditekan,hidup-sehat,"Beberapa titik refleksi tangan bisa ditekan untuk mengatasi berbagai masalah kesehatan, seperti sakit kepala maupun..."
